Block ID,Property ID,Base property ID,Building name,Streetaddress,CLUE small area,Construction year,Refurbished year,Number of floors (above ground),Predominant space use,Accessibility type,Accessibility type description,Accessibility rating,Bicycle spaces,Has showers
11,105295,105295,Stokes Building,KingStreet,Melbourne (CBD),1972,1980,2,Unoccupied - Unused,Low level of accessibility,All entrances have steps,1,0,
11,108971,108971,Holiday Inn on Flinders,FlindersLane,Melbourne (CBD),1990,1997,9,Commercial Accommodation,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2,0,1
11,559405,559405,Morgan Place,FlindersLane,Melbourne (CBD),2000,,8,Residential Apartment,Low level of accessibility,All entrances have steps,1,0,
11,103957,103957,Katherine Square,FlindersLane,Melbourne (CBD),1990,,5,Office,High level of accessibility,Main Entrance has ramp,3,0,
11,103991,103991,,FlindersStreet,Melbourne (CBD),1910,,2,Unoccupied - Unused,Low level of accessibility,All entrances have steps,1,0,
11,108972,108972,Pensione Hotel,SpencerStreet,Melbourne (CBD),1880,2006,5,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,
11,102595,102595,,DownieStreet,Melbourne (CBD),1953,2003,2,Unoccupied - Unused,Low level of accessibility,All entrances have steps,1,0,
11,103989,103989,Aura Apartments,FlindersStreet,Melbourne (CBD),2013,1981,26,Residential Apartment,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,83,1
11,103988,103988,Flinders Towers,FlindersStreet,Melbourne (CBD),2005,,13,Residential Apartment,Low level of accessibility,All entrances have steps,1,0,
11,103987,103987,Eifel Tower Apartments,FlindersStreet,Melbourne (CBD),2006,,30,Residential Apartment,Low level of accessibility,All entrances have steps,1,0,
11,103986,103986,Flinders Tower,FlindersStreet,Melbourne (CBD),,,1,Unoccupied - Under Construction,Low level of accessibility,All entrances have steps,1,0,
11,103985,103985,Markilles Hotel,FlindersStreet,Melbourne (CBD),1915,2009,5,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,1
11,103958,103958,,FlindersLane,Melbourne (CBD),1945,1984,2,Equipment Installation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,
11,103990,103990,,FlindersStreet,Melbourne (CBD),1945,,2,Public Display Area,Low level of accessibility,All entrances have steps,1,0,
11,103984,103984,Nomads All Nations Backpacker Hotel,FlindersStreet,Melbourne (CBD),1920,2000,4,Commercial Accommodation,Low level of accessibility,All entrances have steps,1,0,
12,104825,104825,Highlander Mews,HighlanderLane,Melbourne (CBD),1984,,3,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,
12,105398,105398,,KingStreet,Melbourne (CBD),1973,,1,Equipment Installation,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,
12,105399,105399,,KingStreet,Melbourne (CBD),1911,,4,Entertainment/Recreation - Indoor,Low level of accessibility,All entrances have steps,1,0,
12,105400,105400,,KingStreet,Melbourne (CBD),1890,1988,3,Entertainment/Recreation - Indoor,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,
12,105401,105401,,KingStreet,Melbourne (CBD),1917,1986,2,Entertainment/Recreation - Indoor,High level of accessibility,Main Entrance has ramp,3,0,
12,105402,105402,,KingStreet,Melbourne (CBD),1917,1990,2,Entertainment/Recreation - Indoor,Low level of accessibility,All entrances have steps,1,0,
12,103955,103955,,FlindersLane,Melbourne (CBD),1988,,4,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,
12,104824,104824,,AHighlanderLane,Melbourne (CBD),1917,,3,Entertainment/Recreation - Indoor,Low level of accessibility,All entrances have steps,1,0,
12,110091,110091,15W,WilliamStreet,Melbourne (CBD),1967,2003,22,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,105,1
12,103999,103999,The Clarion Gateway Apartments,WilliamStreet,Melbourne (CBD),1967,1997,21,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,1
12,103998,103998,,FlindersStreet,Melbourne (CBD),1993,,20,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,80,1
12,103997,103997,Best Western Riverside Apartments,FlindersStreet,Melbourne (CBD),1990,2000,19,Parking - Commercial Covered,Low level of accessibility,All entrances have steps,1,10,
12,103996,103996,,FlindersStreet,Melbourne (CBD),1955,,2,Entertainment/Recreation - Indoor,Low level of accessibility,All entrances have steps,1,0,
12,103995,103995,,FlindersStreet,Melbourne (CBD),1975,2000,10,Residential Apartment,Low level of accessibility,All entrances have steps,1,0,
12,103956,103956,Highlander Apartments,FlindersLane,Melbourne (CBD),1988,1997,4,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,
12,103994,103994,,FlindersStreet,Melbourne (CBD),1911,2006,3,Entertainment/Recreation - Indoor,Low level of accessibility,All entrances have steps,1,0,
12,104823,104823,RUTHERGLEN HOUSE,HighlanderLane,Melbourne (CBD),1854,1990,3,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,
13,108059,108059,Lombard Buildings,QueenStreet,Melbourne (CBD),1890,1990,7,Office,Low level of accessibility,All entrances have steps,1,0,
13,110151,110151,Swann House,WilliamStreet,Melbourne (CBD),1922,1989,11,Office,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2,15,1
13,108060,108060,,QueenStreet,Melbourne (CBD),1976,,22,Office,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2,52,1
13,108058,108058,BENNELONG HOUSE,QueenStreet,Melbourne (CBD),1886,1994,3,Office,Low level of accessibility,All entrances have steps,1,0,
13,108057,108057,,QueenStreet,Melbourne (CBD),1925,1984,3,Retail - Shop,Low level of accessibility,All entrances have steps,1,0,
13,106439,106439,Reed House,MarketStreet,Melbourne (CBD),1961,2008,6,Office,Low level of accessibility,All entrances have steps,1,0,0
13,106435,106435,The Port Apartments,MarketStreet,Melbourne (CBD),1929,2000,12,Residential Apartment,Low level of accessibility,All entrances have steps,1,14,
13,104002,104002,,FlindersStreet,Melbourne (CBD),1987,,9,Parking - Commercial Covered,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,
13,104001,104001,Holyman House,FlindersStreet,Melbourne (CBD),1958,1995,3,Office,Low level of accessibility,All entrances have steps,1,0,
13,104000,104000,Immigration Museum,FlindersStreet,Melbourne (CBD),1876,1997,3,Public Display Area,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2,2,1
13,103954,103954,Tavistock House,FlindersLane,Melbourne (CBD),1850,1997,3,Retail - Shop,Low level of accessibility,All entrances have steps,1,0,
13,106438,106438,Electric House,MarketStreet,Melbourne (CBD),1988,1998,10,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,40,1
13,109438,109438,,TavistockPlace,Melbourne (CBD),1910,,2,Equipment Installation,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,
14,108115,108115,,QueenStreet,Melbourne (CBD),1922,1987,9,Office,Low level of accessibility,All entrances have steps,1,0,
14,103951,103951,Reid House,FlindersLane,Melbourne (CBD),1909,1998,6,Educational/Research,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,
14,103952,103952,,FlindersLane,Melbourne (CBD),,1999,6,Residential Apartment,Low level of accessibility,All entrances have steps,1,0,
14,103953,103953,Labassa House,FlindersLane,Melbourne (CBD),1920,1997,7,Residential Apartment,Low level of accessibility,All entrances have steps,1,0,
14,104003,104003,Q2 Tower,QueenStreet,Melbourne (CBD),2008,2012,13,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,10,1
14,104004,104004,,FlindersStreet,Melbourne (CBD),1956,2005,11,Unoccupied - Unused,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,
14,104005,104005,,FlindersStreet,Melbourne (CBD),1945,,5,Parking - Commercial Covered,Low level of accessibility,All entrances have steps,1,0,
14,104006,104006,Rendezvous Hotel Melbourne,FlindersStreet,Melbourne (CBD),1913,1997,10,Commercial Accommodation,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2,4,1
14,104007,104007,Victoria University Of Technology,FlindersStreet,Melbourne (CBD),1991,,19,Parking - Commercial Covered,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,
14,108114,108114,Prime Value House,QueenStreet,Melbourne (CBD),1983,1995,12,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,
14,108116,108116,Alkira House0,QueenStreet,Melbourne (CBD),1937,1991,10,Residential Apartment,Low level of accessibility,All entrances have steps,1,0,
14,108117,108117,Qbe House,QueenStreet,Melbourne (CBD),1972,1998,15,Office,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2,10,1
14,103169,103169,Elizabeth Chambers,ElizabethStreet,Melbourne (CBD),1890,,5,Unoccupied - Unused,Low level of accessibility,All entrances have steps,1,0,
14,103950,103950,The Corporate Clearing House,FlindersLane,Melbourne (CBD),1945,1994,6,Office,Low level of accessibility,All entrances have steps,1,0,
14,104008,104008,The Rocke Tompsitt Building,FlindersStreet,Melbourne (CBD),1908,2002,6,Residential Apartment,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,
14,103167,103167,,ElizabethStreet,Melbourne (CBD),1963,1988,3,Entertainment/Recreation - Indoor,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,
14,103949,103949,Boydex House,FlindersLane,Melbourne (CBD),1912,1987,5,Office,Low level of accessibility,All entrances have steps,1,0,
14,103171,103171,Galvin House,ElizabethStreet,Melbourne (CBD),,,2,Entertainment/Recreation - Indoor,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,
14,103166,103166,,ElizabethStreet,Melbourne (CBD),,1992,2,Retail - Shop,Low level of accessibility,All entrances have steps,1,0,
14,103168,103168,Excelsior House,ElizabethStreet,Melbourne (CBD),1927,1993,7,Residential Apartment,Low level of accessibility,All entrances have steps,1,0,
14,103170,103170,South Australia House,ElizabethStreet,Melbourne (CBD),1889,,5,Storage,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,
14,101099,101099,Metro Parking,BondStreet,Melbourne (CBD),1986,,8,Parking - Commercial Covered,High level of accessibility,Main Entrance has ramp,3,0,
14,103947,103947,The Sebel Melbourne,FlindersLane,Melbourne (CBD),1991,1995,12,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,1
14,103165,103165,Hosies House,ElizabethStreet,Melbourne (CBD),1956,1987,11,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,
14,103948,103948,Lane Centre,FlindersLane,Melbourne (CBD),1900,1986,5,Office,Low level of accessibility,All entrances have steps,1,0,
14,103172,103172,,ElizabethStreet,Melbourne (CBD),1966,1990,13,Commercial Accommodation,Not determined or not applicable,Configuration of entrance does not fit into any of the other categories,0,0,1
14,103946,103946,,FlindersLane,Melbourne (CBD),1950,1988,7,Office,Low level of accessibility,All entrances have steps,1,0,
14,103945,103945,Reliance House,FlindersLane,Melbourne (CBD),1914,1989,6,Educational/Research,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2,0,1
14,103911,103911,,MillPlace,Melbourne (CBD),1860,2000,3,Unoccupied - Unused,Low level of accessibility,All entrances have steps,1,0,
15,109260,109260,,SwanstonStreet,Melbourne (CBD),1945,1983,2,Entertainment/Recreation - Indoor,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,
15,104012,104012,YOORALLA,FlindersStreet,Melbourne (CBD),1945,1998,5,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,
15,109263,109263,Nicohlas Building,SwanstonStreet,Melbourne (CBD),1926,1992,10,Workshop/Studio,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,
15,573408,573408,Cae City Centre,DegravesStreet,Melbourne (CBD),1891,,8,Educational/Research,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2,0,
15,109259,109259,,SwanstonStreet,Melbourne (CBD),1945,,2,Storage,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,
15,109258,109258,McDonalds,SwanstonStreet,Melbourne (CBD),1991,1995,3,Entertainment/Recreation - Indoor,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,
15,109257,109257,Young  And Jacksons Hotel,SwanstonStreet,Melbourne (CBD),1861,1922,3,Entertainment/Recreation - Indoor,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,
15,104015,104015,,FlindersStreet,Melbourne (CBD),1856,1990,3,Retail - Shop,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,
15,104014,104014,Port Phiillip Arcade,FlindersStreet,Melbourne (CBD),1961,1987,3,Educational/Research,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,
15,104013,104013,Unilodge on Flinders,FlindersStreet,Melbourne (CBD),1932,1999,14,Student Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,
15,109261,109261,Commonwealth Bank,SwanstonStreet,Melbourne (CBD),1926,1990,2,Retail - Shop,Low level of accessibility,All entrances have steps,1,0,
15,103328,103328,River View House,FlindersStreet,Melbourne (CBD),1968,2014,17,Retail - Shop,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,1
15,109262,109262,,SwanstonStreet,Melbourne (CBD),1945,2012,3,Entertainment/Recreation - Indoor,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,
15,104011,104011,,FlindersStreet,Melbourne (CBD),,2000,4,Commercial Accommodation,Moderate level of accessibility,Entrance(s) have limited access via a small lip or a steep ramp,2,0,
15,103327,103327,ANA Building,ElizabethStreet,Melbourne (CBD),1938,1999,9,Educational/Research,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,
15,103939,103939,,FlindersLane,Melbourne (CBD),1940,1987,8,Residential Apartment,Low level of accessibility,All entrances have steps,1,0,
15,103940,103940,Bible House,FlindersLane,Melbourne (CBD),1898,1993,7,Residential Apartment,Low level of accessibility,All entrances have steps,1,0,
15,103941,103941,Ross House,FlindersLane,Melbourne (CBD),1898,1987,5,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,4,1
15,103942,103942,,FlindersLane,Melbourne (CBD),1899,2003,6,Educational/Research,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2,22,1
15,103943,103943,The Lane Building,FlindersLane,Melbourne (CBD),1899,1997,6,Commercial Accommodation,Low level of accessibility,All entrances have steps,1,0,
15,103944,103944,Tomasetti House,FlindersLane,Melbourne (CBD),1853,1989,7,Educational/Research,Low level of accessibility,All entrances have steps,1,0,
15,104009,104009,Citigate Melbourne Hotel,FlindersStreet,Melbourne (CBD),1977,2002,15,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,
15,104010,104010,The Empire Apartments,FlindersStreet,Melbourne (CBD),2006,,14,Residential Apartment,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,
15,103326,103326,Carlow House,FlindersLane,Melbourne (CBD),1939,2010,11,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,
16,104017,104017,,FlindersStreet,Melbourne (CBD),1891,2010,6,Educational/Research,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,
16,110761,110760,The Chapter House ,FlindersLane,Melbourne (CBD),1891,1996,4,Office,Low level of accessibility,All entrances have steps,1,0,
16,108532,108532,Cavendish House Apartment,RussellStreet,Melbourne (CBD),1920,1995,9,Residential Apartment,Low level of accessibility,All entrances have steps,1,0,
16,108531,108531,Russel Street Theatre,RussellStreet,Melbourne (CBD),1920,2006,1,Unoccupied - Unused,Low level of accessibility,All entrances have steps,1,0,
16,104931,104931,,HosierLane,Melbourne (CBD),1900,,3,Hospital/Clinic,Low level of accessibility,All entrances have steps,1,0,1
16,104930,104930,,HosierLane,Melbourne (CBD),1900,1998,3,Office,Low level of accessibility,All entrances have steps,1,0,
16,104020,104020,Forum Theatre,FlindersStreet,Melbourne (CBD),1929,1996,6,Entertainment/Recreation - Indoor,Low level of accessibility,All entrances have steps,1,0,
16,104018,104018,Flinders Gate,FlindersStreet,Melbourne (CBD),1891,1988,9,Parking - Commercial Covered,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,
16,103932,103932,Flinders Lane Apartments,FlindersLane,Melbourne (CBD),1900,1998,7,Commercial Accommodation,Low level of accessibility,All entrances have steps,1,0,
16,103938,103938,ADELPHI HOTEL,FlindersLane,Melbourne (CBD),1938,1993,10,Commercial Accommodation,Low level of accessibility,All entrances have steps,1,0,
16,103937,103937,Toronto House,FlindersLane,Melbourne (CBD),1924,1992,6,Residential Apartment,Low level of accessibility,All entrances have steps,1,0,
16,103936,103936,179 FLINDERS LANE,FlindersLane,Melbourne (CBD),1911,1989,4,Retail - Showroom,Low level of accessibility,All entrances have steps,1,0,
16,103935,103935,,FlindersLane,Melbourne (CBD),1937,1988,8,Office,Low level of accessibility,All entrances have steps,1,0,
16,103934,103934,,FlindersLane,Melbourne (CBD),1900,2012,6,Unoccupied - Unused,Low level of accessibility,All entrances have steps,1,0,
16,103933,103933,McDonald House,FlindersLane,Melbourne (CBD),1900,1988,7,Residential Apartment,Low level of accessibility,All entrances have steps,1,0,
16,104019,104019,Masonic Club Building,FlindersStreet,Melbourne (CBD),1927,1996,7,Residential Apartment,Low level of accessibility,All entrances have steps,1,0,
16,104016,110760,St Pauls Cathedral,FlindersStreet,Melbourne (CBD),1891,2003,1,"Performances, Conferences, Ceremonies",Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2,0,
17,104028,104028,Dreman Building,FlindersStreet,Melbourne (CBD),1920,,6,Office,Moderate level of accessibility,Entrance(s) have limited access via a small lip or a steep ramp,2,0,1
17,104027,104027,100 Flinders Street,FlindersStreet,Melbourne (CBD),1910,1988,6,Unoccupied - Unused,Low level of accessibility,All entrances have steps,1,0,1
17,104025,104025,114 Flinders Street Car Park,FlindersStreet,Melbourne (CBD),1990,,6,Parking - Commercial Covered,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,30,
17,104031,104031,Phoenix Apartments,FlindersStreet,Melbourne (CBD),2012,,30,Residential Apartment,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,
17,104022,104022,Yarra View Apartments,FlindersStreet,Melbourne (CBD),1875,2000,8,Residential Apartment,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,
17,574438,574438,Adina Apartments,FlindersStreet,Melbourne (CBD),2001,,17,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,1
17,104023,104023,EPSTEIN HOUSE,FlindersStreet,Melbourne (CBD),1875,,7,Educational/Research,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,
17,107002,107002,The Bond Store,OliverLane,Melbourne (CBD),1940,2009,6,Residential Apartment,Low level of accessibility,All entrances have steps,1,0,
17,107003,107003,,OliverLane,Melbourne (CBD),1945,2006,5,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,1
17,108593,108593,The Brooks,RussellStreet,Melbourne (CBD),1993,2000,8,Residential Apartment,Low level of accessibility,All entrances have steps,1,0,
17,110277,110277,,DuckboardPlace,Melbourne (CBD),1910,,2,Storage,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,
17,104021,104021,2 Russel Street,FlindersStreet,Melbourne (CBD),2008,2012,9,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,
17,104024,104024,,FlindersStreet,Melbourne (CBD),1885,1995,5,Residential Apartment,Low level of accessibility,All entrances have steps,1,0,
17,108594,108594,CVA,RussellStreet,Melbourne (CBD),1968,2004,3,Office,High level of accessibility,Main Entrance has ramp,3,0,
17,103923,103923,,FlindersLane,Melbourne (CBD),1886,,2,Entertainment/Recreation - Indoor,Low level of accessibility,All entrances have steps,1,0,
17,104026,104026,108 Flinders St,FlindersStreet,Melbourne (CBD),2013,,13,Residential Apartment,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,
17,103592,103592,Mercer,ExhibitionStreet,Melbourne (CBD),2005,,18,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,13,1
17,103920,103920,Swiss Club of Victoria,FlindersLane,Melbourne (CBD),1973,1997,3,Entertainment/Recreation - Indoor,Low level of accessibility,All entrances have steps,1,0,
17,103922,103922,,FlindersLane,Melbourne (CBD),1896,2012,1,Unoccupied - Unused,Low level of accessibility,All entrances have steps,1,0,
17,103924,103924,,FlindersLane,Melbourne (CBD),1910,1988,5,Office,Low level of accessibility,All entrances have steps,1,0,
17,103925,103925,121 Flinders Lane,FlindersLane,Melbourne (CBD),1900,1988,7,Office,Low level of accessibility,All entrances have steps,1,0,
17,103926,103926,Higson Building,FlindersLane,Melbourne (CBD),1920,1998,5,Office,Low level of accessibility,All entrances have steps,1,0,
17,103927,103927,,FlindersLane,Melbourne (CBD),1857,,2,Storage,Low level of accessibility,All entrances have steps,1,0,
17,103931,103931,The Ivy,FlindersLane,Melbourne (CBD),1902,2012,4,Office,Low level of accessibility,All entrances have steps,1,0,
17,103928,103928,,FlindersLane,Melbourne (CBD),1910,2007,2,Entertainment/Recreation - Indoor,Low level of accessibility,All entrances have steps,1,0,
17,103591,103591,,ExhibitionStreet,Melbourne (CBD),1945,1992,8,Residential Apartment,Low level of accessibility,All entrances have steps,1,0,
17,103929,103929,Bank of New South Wales,FlindersLane,Melbourne (CBD),1924,2000,3,Office,Low level of accessibility,All entrances have steps,1,0,
17,103930,103930,PAWSON HOUSE,FlindersLane,Melbourne (CBD),1920,,7,Office,Low level of accessibility,All entrances have steps,1,0,1
17,103921,103921,Duckboard House,FlindersLane,Melbourne (CBD),1949,2008,5,Entertainment/Recreation - Indoor,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,
18,103917,103917,Manhattan Apartments,FlindersLane,Melbourne (CBD),1929,1998,8,Commercial Accommodation,Low level of accessibility,All entrances have steps,1,0,
18,108975,108975,Shell House,SpringStreet,Melbourne (CBD),1989,,32,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,100,1
18,111072,111072,,FlindersStreet,Melbourne (CBD),1998,,10,Parking - Commercial Covered,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,17,
18,111071,111071,Herald Living Apartments,FlindersStreet,Melbourne (CBD),1923,2006,39,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,93,1
18,111021,111021,,FlindersLane,Melbourne (CBD),1929,1998,2,Entertainment/Recreation - Indoor,Low level of accessibility,All entrances have steps,1,0,
18,108977,108977,The Philadelphia Apartments,SpringStreet,Melbourne (CBD),1974,2001,25,Residential Apartment,Low level of accessibility,All entrances have steps,1,0,
18,108976,108976,Mercure Melbourne Treasury Gardens,SpringStreet,Melbourne (CBD),1972,1999,14,Commercial Accommodation,Low level of accessibility,All entrances have steps,1,0,
18,103912,103912,Milton House,FlindersLane,Melbourne (CBD),1901,1988,3,Office,Low level of accessibility,All entrances have steps,1,0,
