Block ID,Property ID,Base property ID,Building name,Streetaddress,CLUE small area,Construction year,Refurbished year,Number of floors (above ground),Predominant space use,Accessibility type,Accessibility type description,Accessibility rating,Bicycle spaces,Has showers
252,111060,106250,124 Lygon Street,LygonStreet,Carlton,1890,0,3,Entertainment/Recreation - Indoor,Low level of accessibility,All entrances have steps,1,0,0
252,111059,106250,126 Lygon Street,LygonStreet,Carlton,1890,0,3,Entertainment/Recreation - Indoor,Low level of accessibility,All entrances have steps,1,0,0
48,103624,103624,128 Exhibition,ExhibitionStreet,Melbourne (CBD),1972,1991,11,Office,High level of accessibility,Main Entrance has ramp,3,0,0
741,110613,110613,135 Sturt Street,SturtStreet,Southbank,1992,0,2,Office,Not determined or not applicable,Configuration of entrance does not fit into any of the other categories,0,0,0
12,110091,110091,15W,WilliamStreet,Melbourne (CBD),1967,2003,22,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,105,1
58,105659,105659,16 Liverpool Street,LiverpoolStreet,Melbourne (CBD),2005,0,12,Residential Apartment,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2,50,0
26,102073,102073,161 Collins Street,CollinsStreet,Melbourne (CBD),1931,1991,11,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,76,1
53,108072,108072,167 - 169  Queen Street,QueenStreet,Melbourne (CBD),1974,2003,13,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,0
214,111213,111207,176 Elgin Street,ElginStreet,Carlton,1900,1990,1,Retail - Shop,Low level of accessibility,All entrances have steps,1,0,0
214,111214,111207,178 Elgin Street,ElginStreet,Carlton,1900,0,2,Office,Low level of accessibility,All entrances have steps,1,0,0
16,103936,103936,179 FLINDERS LANE,FlindersLane,Melbourne (CBD),1911,1989,4,Retail - Showroom,Low level of accessibility,All entrances have steps,1,0,0
214,111215,111207,180 Elgin Street,ElginStreet,Carlton,1900,0,2,Residential Apartment,Low level of accessibility,All entrances have steps,1,0,0
214,103139,111207,182 Elgin Street,ElginStreet,Carlton,1900,2000,2,House/Townhouse,Low level of accessibility,All entrances have steps,1,0,0
808,110386,110386,190 City Rd,CityRoad,Southbank,1987,0,3,Office,Low level of accessibility,All entrances have steps,1,0,0
54,108104,108104,190 Queen Street,QueenStreet,Melbourne (CBD),1966,2003,18,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,0
17,104021,104021,2 Russel Street,FlindersStreet,Melbourne (CBD),2008,2012,9,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,0
64,108102,108102,200 QUEEN ST,QueenStreet,Melbourne (CBD),1982,1997,35,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,12,1
791,111216,110496,212 Lorimer Street,LorimerStreet,Port Melbourne,2002,0,3,Workshop/Studio,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,1
68,103620,103620,222 Exhibition Street,ExhibitionStreet,Melbourne (CBD),1988,2010,30,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,150,1
56,109398,109398,226 Swanston St,SwanstonStreet,Melbourne (CBD),1886,1981,5,Office,Low level of accessibility,All entrances have steps,1,0,0
245,101610,101610,233 Cardigan Street Business Centre,CardiganStreet,Carlton,1980,0,3,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,0
65,103312,103312,250E APARTMENTS,ElizabethStreet,Melbourne (CBD),1976,2013,27,Residential Apartment,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,1
74,108097,108097,256 Queen Street,QueenStreet,Melbourne (CBD),1990,1996,14,Office,Low level of accessibility,All entrances have steps,1,0,0
753,110608,110608,28 Southgate,SouthgateAvenue,Southbank,1960,1994,16,Residential Apartment,Low level of accessibility,All entrances have steps,1,0,0
748,108659,108659,320 St Kilda Road,StKildaRoad,Southbank,1966,2001,9,Residential Apartment,High level of accessibility,Main Entrance has ramp,3,0,0
34,102137,102137,330 COLLINS STREET,CollinsStreet,Melbourne (CBD),1990,2003,20,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,0
24,102089,102089,333 Collins Street,CollinsStreet,Melbourne (CBD),1990,0,29,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,184,1
24,102091,102091,357 Collins Street,CollinsStreet,Melbourne (CBD),1968,2010,25,Office,High level of accessibility,Main Entrance has ramp,3,120,1
34,110670,110670,365 Little Collins Street,LittleCollinsStreet,Melbourne (CBD),1982,2004,11,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,0
1110,608355,608355,370 Docklands Drive,DocklandsDrive,Docklands,2008,0,7,Unoccupied - Unused,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,0
520,621972,621972,40 Altona Street,AltonaStreet,Kensington,2009,0,4,Residential Apartment,Low level of accessibility,All entrances have steps,1,0,0
44,101148,101148,405 Bourke Street,BourkeStreet,Melbourne (CBD),1964,1996,5,Unoccupied - Unused,Low level of accessibility,All entrances have steps,1,0,0
111,111180,105330,445 King Street,KingStreet,West Melbourne (Residential),1998,0,2,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0
33,102123,102123,446 Collins,CollinsStreet,Melbourne (CBD),1967,1988,13,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,0
111,111181,105330,447 King Street,KingStreet,West Melbourne (Residential),1998,0,2,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0
22,110092,110092,45 William Street,WilliamStreet,Melbourne (CBD),1983,2001,15,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,0
111,111183,105330,451 King Street,KingStreet,West Melbourne (Residential),1998,0,2,House/Townhouse,Low level of accessibility,All entrances have steps,1,0,0
111,111185,105330,455 King Street,KingStreet,West Melbourne (Residential),1998,0,2,Office,Low level of accessibility,All entrances have steps,1,0,0
111,111186,105330,457 King Street,KingStreet,West Melbourne (Residential),1998,0,2,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0
111,111187,105330,459 King Street,KingStreet,West Melbourne (Residential),1998,0,2,House/Townhouse,Low level of accessibility,All entrances have steps,1,0,0
53,101182,101182,460 Bourke Street,BourkeStreet,Melbourne (CBD),1965,2008,14,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,0
32,102119,102119,470 Collins,CollinsStreet,Melbourne (CBD),1970,2014,16,Office,High level of accessibility,Main Entrance has ramp,3,0,1
520,619479,619479,50 Alton Street,AltonaStreet,Kensington,2009,0,5,Residential Apartment,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,0
32,102117,102117,500 Collins,CollinsStreet,Melbourne (CBD),1973,2008,27,Office,High level of accessibility,Main Entrance has ramp,3,45,1
28,108979,108979,51 SPRING STREET,SpringStreet,Melbourne (CBD),1973,1999,16,Residential Apartment,Low level of accessibility,All entrances have steps,1,0,0
32,102116,102116,520 Collins Street,CollinsStreet,Melbourne (CBD),1975,1999,18,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,3,1
32,102115,102115,530 Collins,CollinsStreet,Melbourne (CBD),1991,2009,38,Office,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2,100,1
25,109264,109264,55 Swanston Street,SwanstonStreet,Melbourne (CBD),1974,2004,15,Educational/Research,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,0
52,111283,636824,550 Bourke Street,BourkeStreet,Melbourne (CBD),2008,0,21,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,1
724,108650,108650,553 St. Kilda Road,StKildaRoad,South Yarra/Melbourne Remainder,1990,0,8,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,25,1
52,101173,101173,570 Bourke,BourkeStreet,Melbourne (CBD),1972,2000,33,Unoccupied - Under Renovation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,86,1
21,102106,102106,595 Collins Street (Former Transport House),CollinsStreet,Melbourne (CBD),1984,2007,18,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,50,1
520,619478,619478,60 Altona Street,AltonaStreet,Kensington,2010,0,3,Residential Apartment,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,0
263,105525,105525,60L Green Building,LeicesterStreet,Carlton,1890,2002,4,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,33,1
812,110338,110338,65 Southbank Boulevard,SouthbankBoulevard,Southbank,1989,2003,4,Office,High level of accessibility,Main Entrance has ramp,3,0,0
252,111347,106250,68 - 72 Queensberry,QueensberryStreet,Carlton,1999,0,5,Residential Apartment,Moderate level of accessibility,Entrance(s) have limited access via a small lip or a steep ramp,2,0,0
37,102161,102161,80 Collins Street,CollinsStreet,Melbourne (CBD),1977,1998,48,Office,High level of accessibility,Main Entrance has ramp,3,130,1
252,111070,106250,80 Lygon Street,QueensberryStreet,Carlton,1890,0,3,Entertainment/Recreation - Indoor,Low level of accessibility,All entrances have steps,1,0,0
520,597180,597180,86 Altona Street,AltonaStreet,Kensington,2006,0,4,Residential Apartment,Low level of accessibility,All entrances have steps,1,0,0
37,102157,102157,90 COLLINS STREET,CollinsStreet,Melbourne (CBD),1988,2003,22,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,25,1
773,579362,579362,90 LORIMER STREET,LorimerStreet,Docklands,2005,0,40,Residential Apartment,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,6,0
32,110094,110094,99 William Street,WilliamStreet,Melbourne (CBD),1985,1998,14,Office,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2,0,0
95,103308,103308,A - C Buildings,ElizabethStreet,Melbourne (CBD),1972,1985,6,Educational/Research,Low level of accessibility,All entrances have steps,1,0,0
23,603904,603904,A.B. Wine Tonic Stores,FlindersLane,Melbourne (CBD),1930,2011,4,Unoccupied - Under Renovation,Low level of accessibility,All entrances have steps,1,0,0
660,597955,109256,AAMI Park,OlympicBoulevard,South Yarra/Melbourne Remainder,2010,0,4,Entertainment/Recreation - Indoor,Not determined or not applicable,Configuration of entrance does not fit into any of the other categories,0,0,1
95,500323,500323,ABeckett Tower,A'BeckettStreet,Melbourne (CBD),2010,0,34,Residential Apartment,Low level of accessibility,All entrances have steps,1,160,0
860,109514,109514,Abergarn,WWToorakRoad,South Yarra/Melbourne Remainder,1950,0,3,Residential Apartment,Low level of accessibility,All entrances have steps,1,0,0
858,106738,106738,Aberuchill,MonaPlace,South Yarra/Melbourne Remainder,1970,0,2,Residential Apartment,Not determined or not applicable,Configuration of entrance does not fit into any of the other categories,0,0,0
44,108111,108111,ACA Building,QueenStreet,Melbourne (CBD),1936,1997,12,Office,Low level of accessibility,All entrances have steps,1,0,0
27,103595,103595,ACCI House,ExhibitionStreet,Melbourne (CBD),1923,1988,8,Office,Low level of accessibility,All entrances have steps,1,0,0
357,109823,109823,Acquum,VictoriaStreet,North Melbourne,1960,0,2,Unoccupied - Unused,High level of accessibility,Main Entrance has ramp,3,0,0
54,105844,105844,ACS Building,LittleBourkeStreet,Melbourne (CBD),1945,0,3,Office,Low level of accessibility,All entrances have steps,1,0,0
16,103938,103938,ADELPHI HOTEL,FlindersLane,Melbourne (CBD),1938,1993,10,Commercial Accommodation,Low level of accessibility,All entrances have steps,1,0,0
53,108074,108074,Adina,QueenStreet,Melbourne (CBD),1980,2007,19,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,0
17,574438,574438,Adina Apartments,FlindersStreet,Melbourne (CBD),2001,0,17,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,1
36,110754,109416,ADMINISTRATION BUILDING (MCC),SwanstonStreet,Melbourne (CBD),1867,1998,5,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,0
87,108566,108566,Adobe 318 Apartments,RussellStreet,Melbourne (CBD),2014,0,58,Residential Apartment,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,146,0
23,102098,102098,AFT House,CollinsStreet,Melbourne (CBD),1945,1984,3,Entertainment/Recreation - Indoor,Low level of accessibility,All entrances have steps,1,0,0
82,110108,110108,AGC House,WilliamStreet,Melbourne (CBD),1962,2003,13,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,0
656,109985,109985,Agnes Apartments,AgnesStreet,East Melbourne,1940,0,3,Residential Apartment,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,0
861,107367,107367,Ahlwyn And Milden Hall,ParkStreet,South Yarra/Melbourne Remainder,1930,2010,4,Residential Apartment,Low level of accessibility,All entrances have steps,1,0,0
760,108644,108644,AIA,StKildaRoad,South Yarra/Melbourne Remainder,1990,0,7,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,0
857,102520,102520,Airlie Police College,DomainRoad,South Yarra/Melbourne Remainder,1840,1997,2,Educational/Research,Low level of accessibility,All entrances have steps,1,0,1
240,104466,104466,Alan Gilbert Building - Building 104,BarryStreet,Carlton,2002,0,8,Educational/Research,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,0
862,106621,106621,Albany Motor Hotel,MillswynStreet,South Yarra/Melbourne Remainder,1950,1990,3,Commercial Accommodation,Moderate level of accessibility,Entrance(s) have limited access via a small lip or a steep ramp,2,0,1
614,100333,100333,Albert Heights,AlbertStreet,East Melbourne,1962,0,3,Commercial Accommodation,High level of accessibility,Main Entrance has ramp,3,0,0
267,102624,102624,Albert House,DrummondStreet,Carlton,1900,0,3,Student Accommodation,Low level of accessibility,All entrances have steps,1,0,0
710,108623,108623,Albert Park Manor,StKildaRoad,South Yarra/Melbourne Remainder,2015,0,6,Unoccupied - Under Construction,Low level of accessibility,All entrances have steps,1,0,0
621,100353,100353,Albert Street Medical Centre,AlbertStreet,East Melbourne,1963,0,10,Hospital/Clinic,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,0
620,109650,109650,Albert Terrace,VictoriaParade,East Melbourne,1870,0,2,Hospital/Clinic,Low level of accessibility,All entrances have steps,1,0,0
245,101612,101612,Albion House,CardiganStreet,Carlton,1890,1995,4,Educational/Research,Low level of accessibility,All entrances have steps,1,0,0
38,102174,102174,Alcaston House,CollinsStreet,Melbourne (CBD),1930,1982,8,Hospital/Clinic,Low level of accessibility,All entrances have steps,1,0,1
23,102096,102096,Aldersgate House,CollinsStreet,Melbourne (CBD),1923,2000,7,Office,Low level of accessibility,All entrances have steps,1,0,0
430,108857,108857,Alessi Apartments,SpencerStreet,West Melbourne (Residential),2014,0,5,Unoccupied - Under Construction,Low level of accessibility,All entrances have steps,1,0,0
35,103324,103324,Alexanders,ElizabethStreet,Melbourne (CBD),1945,0,3,Retail - Shop,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,0
87,108569,108569,Alexandra Building,RussellStreet,Melbourne (CBD),1890,2000,2,Office,Low level of accessibility,All entrances have steps,1,0,0
850,101101,101101,Alexandra Gardens,StKildaRoad,South Yarra/Melbourne Remainder,1904,0,1,Community Use,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0
6,578319,573333,Alfred Deakin Building,SwanstonStreet,Melbourne (CBD),2002,0,4,"Performances, Conferences, Ceremonies",High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,0
870,102178,102178,Alfred Hospital,CommercialRoad,South Yarra/Melbourne Remainder,1960,2010,9,Hospital/Clinic,High level of accessibility,Main Entrance has ramp,3,0,1
14,108116,108116,Alkira House0,QueenStreet,Melbourne (CBD),1937,1991,10,Residential Apartment,Low level of accessibility,All entrances have steps,1,0,0
18,103919,103919,Alley Building,FlindersLane,Melbourne (CBD),1920,2004,6,Office,Low level of accessibility,All entrances have steps,1,0,0
42,105390,105390,Allianz Centre,BourkeStreet,Melbourne (CBD),1975,2002,12,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,0
51,101169,101169,Alto Hotel on Bourke,BourkeStreet,Melbourne (CBD),1916,2006,6,Commercial Accommodation,Low level of accessibility,All entrances have steps,1,0,0
906,108499,108499,AMA House,RoyalParade,Parkville,1970,0,2,Office,High level of accessibility,Main Entrance has ramp,3,0,0
858,102516,102516,Amesbury House,DomainRoad,South Yarra/Melbourne Remainder,1945,0,3,Residential Apartment,Low level of accessibility,All entrances have steps,1,0,0
1105,598590,598590,AMP,CollinsStreet,Docklands,2007,0,11,Office,High level of accessibility,Main Entrance has ramp,3,100,1
42,101156,101155,AMP Tower,BourkeStreet,Melbourne (CBD),1969,2012,25,Office,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2,30,1
15,103327,103327,ANA Building,ElizabethStreet,Melbourne (CBD),1938,1999,9,Educational/Research,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,0
67,105894,105894,Ancient Times House,LittleBourkeStreet,Melbourne (CBD),1920,2002,3,Institutional Accommodation ,Moderate level of accessibility,Entrance(s) have limited access via a small lip or a steep ramp,2,0,0
261,103287,103287,ANF Building,ElizabethStreet,Carlton,2009,2010,8,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,0
917,106751,106751,Angaston,MorrahStreet,Parkville,1940,0,2,Residential Apartment,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0
38,102165,102165,ANU House,CollinsStreet,Melbourne (CBD),1990,0,12,Office,Low level of accessibility,All entrances have steps,1,0,0
1108,611367,611367,ANZ ,CollinsStreet,Docklands,2009,0,12,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,500,1
84,103215,103215,ANZ BANK CHAMBERS,ElizabethStreet,Melbourne (CBD),1928,0,5,Office,Low level of accessibility,All entrances have steps,1,0,0
34,102132,102132,ANZ Bank World Headquarters,CollinsStreet,Melbourne (CBD),1993,1993,34,Office,Not determined or not applicable,Configuration of entrance does not fit into any of the other categories,0,0,1
28,102062,102060,ANZ Tower,CollinsStreet,Melbourne (CBD),1981,1997,49,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,0
38,102173,102173,Anzac House,CollinsStreet,Melbourne (CBD),1938,2002,6,Office,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2,0,1
24,103173,103173,APA Building,ElizabethStreet,Melbourne (CBD),1981,1999,5,Unoccupied - Unused,Moderate level of accessibility,Entrance(s) have limited access via a small lip or a steep ramp,2,0,0
1014,560902,558529,Aqua Star,RadcliffeStreet,West Melbourne (Industrial),2001,0,2,Storage,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0
1109,601815,601815,Aquavista,DocklandsDrive,Docklands,2007,0,16,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,90,1
650,110658,101782,Archdiocese Centre,AlbertStreet,East Melbourne,1971,0,1,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,0
646,109663,109663,Ardee,VictoriaParade,East Melbourne,1970,0,2,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,8,1
368,100458,100458,Arden Motel,ArdenStreet,North Melbourne,1967,0,3,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,0
94,105484,105484,Argus Centre,LaTrobeStreet,Melbourne (CBD),1991,0,35,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,13,1
732,110375,110375,Aria Serviced Apartments,CityRoad,Southbank,2006,0,16,Commercial Accommodation,Low level of accessibility,All entrances have steps,1,0,0
104,100443,100443,Arizona,AnthonyStreet,Melbourne (CBD),1995,0,5,Residential Apartment,Low level of accessibility,All entrances have steps,1,0,0
859,106456,106456,Arlington,MarneStreet,South Yarra/Melbourne Remainder,1950,0,3,Residential Apartment,Low level of accessibility,All entrances have steps,1,0,0
63,108078,108078,Armstrong House,QueenStreet,Melbourne (CBD),1907,2001,3,Office,Low level of accessibility,All entrances have steps,1,0,0
773,611696,611696,Array Apartments,LorimerStreet,Docklands,2014,0,10,Unoccupied - Under Construction,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,0
265,559514,559514,Arrow On Swanston Apartments,SwanstonStreet,Carlton,2000,0,11,Student Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,10,0
93,110140,110140,Art on the Park/Singers Lane,WilliamStreet,Melbourne (CBD),2013,0,37,Residential Apartment,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,0
606,104834,104834,Ascot Lodge Private Hotel,HoddleStreet,East Melbourne,1945,0,2,Commercial Accommodation,Low level of accessibility,All entrances have steps,1,0,0
27,103596,103596,ASF House,ExhibitionStreet,Melbourne (CBD),1969,1988,15,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,15,1
74,105742,105742,Askew House,LonsdaleStreet,Melbourne (CBD),1937,2011,7,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,0
36,102153,102153,Assembly Hall,CollinsStreet,Melbourne (CBD),1841,2009,3,Office,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2,0,0
114,104098,104098,Association House,FranklinStreet,Melbourne (CBD),1926,1985,3,Educational/Research,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2,0,0
867,107807,107807,Astor,PuntRoad,South Yarra/Melbourne Remainder,1999,0,2,Residential Apartment,Low level of accessibility,All entrances have steps,1,0,0
245,110987,110987,Astorial Apartments,SwanstonStreet,Carlton,2000,0,10,Residential Apartment,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,36,0
27,102066,102066,Athenaem Club,CollinsStreet,Melbourne (CBD),1932,1994,6,Entertainment/Recreation - Indoor,Low level of accessibility,All entrances have steps,1,0,1
36,102148,102148,Athenaeum Library and Theatre,CollinsStreet,Melbourne (CBD),1886,1991,4,"Performances, Conferences, Ceremonies",High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,0
81,108960,108960,Atlantis Tower & Hotel,SpencerStreet,Melbourne (CBD),2009,0,37,Commercial Accommodation,Moderate level of accessibility,Entrance(s) have limited access via a small lip or a steep ramp,2,0,1
6,578321,573333,Atrium,SwanstonStreet,Melbourne (CBD),2002,0,2,Entertainment/Recreation - Indoor,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,0
74,104663,104663,Atrium Building,HardwareStreet,Melbourne (CBD),1989,2000,5,Residential Apartment,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,0
11,103989,103989,Aura Apartments,FlindersStreet,Melbourne (CBD),2013,1981,26,Residential Apartment,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,83,1
858,107818,107818,Austinlea,PuntRoad,South Yarra/Melbourne Remainder,1960,0,2,Residential Apartment,Not determined or not applicable,Configuration of entrance does not fit into any of the other categories,0,0,0
34,102136,102136,AUSTOCK HOUSE ,CollinsStreet,Melbourne (CBD),1930,1994,8,Retail - Shop,Low level of accessibility,All entrances have steps,1,0,0
27,102070,102070,Austral House,CollinsStreet,Melbourne (CBD),1890,1997,5,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,0
35,102143,102143,Australia on Collins,CollinsStreet,Melbourne (CBD),1992,2014,13,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,0
738,110342,110342,Australian Broadcasting Corporation,SouthbankBoulevard,Southbank,1994,0,4,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,1
33,110148,110148,Australian Club,WilliamStreet,Melbourne (CBD),1876,0,5,Entertainment/Recreation - Indoor,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2,0,0
922,104190,104190,Australian College Of Paediatrics,GatehouseStreet,Parkville,1890,0,1,Institutional Accommodation ,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,1
257,101245,101245,Avanti Student Accomodation,BouverieStreet,Carlton,1940,2003,4,Student Accommodation,Low level of accessibility,All entrances have steps,1,0,0
77,105761,105761,Aviation House,LonsdaleStreet,Melbourne (CBD),1975,2007,11,Educational/Research,High level of accessibility,Main Entrance has ramp,3,0,0
359,102038,102038,Avion Place,CobdenStreet,North Melbourne,1996,0,3,Residential Apartment,Not determined or not applicable,Configuration of entrance does not fit into any of the other categories,0,0,0
413,108890,108890,AWU,SpencerStreet,West Melbourne (Residential),1960,1990,2,Parking - Private Covered,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,0
